"id","name","parent","account","group","type","recargo_equivalencia","percentage","invoice_base_code","invoice_tax_code","credit_note_base_code","credit_note_tax_code","invoice_base_sign","invoice_tax_sign","credit_note_base_sign","credit_note_tax_sign","invoice_account","credit_note_account","sequence","start_date","end_date","account_name"
"iva_pymes_rep_10","IVA 10%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('10.0')","iva_pymes_dev_04_10","iva_pymes_dev_06_10","iva_pymes_dev_04_10","iva_pymes_dev_06_10",1,1,1,1,"pgc_pymes_477010","pgc_pymes_477010",,"2012-09-01",,"Hacienda Pública. IVA repercutido 10%"
"iva_pymes_rep_21","IVA 21%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('21.0')","iva_pymes_dev_07_21","iva_pymes_dev_09_21","iva_pymes_dev_07_21","iva_pymes_dev_09_21",1,1,1,1,"pgc_pymes_477021","pgc_pymes_477021",0,"2012-09-01",,"Hacienda Pública. IVA repercutido 21%"
"iva_pymes_rep_4_recc","IVA Criterio Caja 4%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('4.0')","recc_pymes_base_dev_04","recc_pymes_dev_04","recc_pymes_base_dev_04","recc_pymes_dev_04",1,1,1,1,"pgc_pymes_477904","pgc_pymes_477904",,,,"Hacienda Pública. IVA repercutido pendiente de cobro 4%"
"iva_pymes_rep_10_recc","IVA Criterio Caja 10%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('10.0')","recc_pymes_base_dev_10","recc_pymes_dev_10","recc_pymes_base_dev_10","recc_pymes_dev_10",1,1,1,1,"pgc_pymes_477910","pgc_pymes_477910",,,,"Hacienda Pública. IVA repercutido pendiente de cobro 10%"
"iva_pymes_rep_21_recc","IVA Criterio Caja 21%",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('21.0')","recc_pymes_base_dev_21","recc_pymes_dev_21","recc_pymes_base_dev_21","recc_pymes_dev_21",1,1,1,1,"pgc_pymes_477921","pgc_pymes_477921",0,,,"Hacienda Pública. IVA repercutido pendiente de cobro 21%"
"iva_pymes_sop_4_recc","4% IVA Soportado criterio de caja",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('4.0')","recc_pymes_base_ded_04","recc_pymes_ded_04","recc_pymes_base_ded_04","recc_pymes_ded_04",1,1,1,1,"pgc_pymes_472904","pgc_pymes_472904",,,,"Hacienda Pública. IVA soportado pendiente de pago 4%"
"iva_pymes_sop_10_recc","10% IVA Soportado criterio de caja",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('10.0')","recc_pymes_base_ded_10","recc_pymes_ded_10","recc_pymes_base_ded_10","recc_pymes_ded_10",1,1,1,1,"pgc_pymes_472910","pgc_pymes_472910",,,,"Hacienda Pública. IVA soportado pendiente de pago 10%"
"iva_pymes_sop_21_recc","21% IVA Soportado criterio de caja",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('21.0')","recc_pymes_base_ded_21","recc_pymes_ded_21","recc_pymes_base_ded_21","recc_pymes_ded_21",1,1,1,1,"pgc_pymes_472921","pgc_pymes_472921",0,,,"Hacienda Pública. IVA soportado pendiente de pago 21%"
"iva_pymes_sop_alq_ex","IVA Soportado alquiler vivienda exento",,"pgc_pymes_0","tax_group_purchase_pymes","percentage","False","Decimal('0.0')","base_pymes_sop_alq_ex",,"base_pymes_sop_alq_ex",,1,1,1,1,"pgc_pymes_4700_child","pgc_pymes_4700_child",,,,"Hacienda deudora IVA"
"iva_pymes_rep_alq_ex","IVA alquiler vivienda exento",,"pgc_pymes_0","tax_group_sale_pymes","percentage","False","Decimal('0.0')","base_pymes_rep_alq_ex",,"base_pymes_rep_alq_ex",,1,1,1,1,"pgc_pymes_4750_child","pgc_pymes_4750_child",,,,"Hacienda acreedora IVA"
